registry_version,created_at,item_id,name,entity_type,category,description,artifact_path,status,selected,dependencies,prompt_path,purpose,why_it_matters,priority_raw,state_raw,notes,install_prompt_path,update_prompt_path,verify_prompt_path,uninstall_prompt_path,child_registry_path,provides_capabilities,version_current,version_target,ci_gate,safety_level
v0.1,2026-01-15 02:40:00,ROS-001,Archive + Clean Init meta-prompt (idempotent),repo_os_created_item,governance,Meta-prompt that archives legacy repo and creates clean scaffold; safe re-runs,/modules/repo_os/prompts/v1/01_archive_clean_init_meta_prompt.md,active,yes,,/modules/repo_os/prompts/v1/01_archive_clean_init_meta_prompt.md,Full clean-init + archive meta-prompt (the big hammer),Safe resets without losing history,High,exists,,/modules/repo_os/prompts/v1/01_archive_clean_init_meta_prompt.md,,/control_plane/prompts/verify.md,,,,,,optional,standard
v0.1,2026-01-15 02:40:00,ROS-002,Prompt governance model (P000/P001 + index.csv concept),repo_os_created_item,prompts,Prompts as versioned artifacts; index.csv as source of truth,,active,yes,,/modules/repo_os/prompts/v1/02_prompt_governance_model.md,"Prompt governance rules (P000/P001, index.csv)",Prevents prompt drift and enables tracking,High,exists,,/modules/repo_os/prompts/v1/02_prompt_governance_model.md,,/control_plane/prompts/verify.md,,,,,,optional,standard
v0.1,2026-01-15 02:40:00,ROS-003,Claude reliability anchor concept (CLAUDE.md),repo_os_created_item,governance,Root rules file to pin Claude behavior to repo standards,/CLAUDE.md,active,yes,,/modules/repo_os/prompts/v1/03_claude_reliability_anchor.md,CLAUDE.md behavior anchoring,Anchors behavior across sessions,High,exists,,/modules/repo_os/prompts/v1/03_claude_reliability_anchor.md,,/control_plane/prompts/verify.md,,,,,,optional,standard
v0.1,2026-01-15 02:40:00,ROS-004,CI guardrails concept,repo_os_created_item,ci_cd,GitHub Actions guardrails to enforce governance,/.github/workflows/repo_guardrails.yml,active,yes,,/modules/repo_os/prompts/v1/04_ci_guardrails_prompt.md,GitHub Actions guardrails enforcement,Automated enforcement in PRs,Medium,exists,,/modules/repo_os/prompts/v1/04_ci_guardrails_prompt.md,,/control_plane/prompts/verify.md,,,,,,optional,standard
v0.1,2026-01-15 02:40:00,ROS-005,Local hooks concept,repo_os_created_item,governance,Pre-commit blocking v1 prompt edits + index update warnings,/scripts/install-hooks.sh,active,yes,,/modules/repo_os/prompts/v1/05_local_hooks_prompt.md,Local git hooks (pre-commit enforcement),Stops violations before PR,Medium,exists,,/modules/repo_os/prompts/v1/05_local_hooks_prompt.md,,/control_plane/prompts/verify.md,,,,,,optional,standard
v0.1,2026-01-15 02:40:00,ROS-006,Prompt tracking CSV (starter),repo_os_created_item,prompts,Downloadable prompts_index.csv for tracking prompts,/generated/prompts_index.csv,active,yes,,/modules/repo_os/prompts/v1/06_prompt_tracking_csv.md,Prompt registry / tracking CSV generation,Excel-friendly registry,High,exists,,/modules/repo_os/prompts/v1/06_prompt_tracking_csv.md,,/control_plane/prompts/verify.md,,,,,,optional,standard
v0.1,2026-01-15 02:40:00,ROS-007,Missing items tracker CSV,repo_os_created_item,governance,Downloadable backlog of remaining Repo OS components,/generated/repo_os_missing_items.csv,active,yes,,/modules/repo_os/prompts/v1/07_missing_items_tracker.md,Missing-items / backlog tracking CSV,Execution tracking,High,exists,,/modules/repo_os/prompts/v1/07_missing_items_tracker.md,,/control_plane/prompts/verify.md,,,,,,optional,standard
v0.1,2026-01-15 02:40:00,ROS-008,Single-command installer,repo_os_created_item,installer,Create a non-interactive install command to deploy Repo OS,,missing,no,,,,Enables repeatable automation,High,not started,,,,/control_plane/prompts/verify.md,,,,,,optional,standard
v0.1,2026-01-15 02:40:00,ROS-009,Template distribution mechanism,repo_os_created_item,distribution,Provide GitHub template or packaged standards bundle,,missing,no,,,,Removes copy/paste,High,not started,,,,/control_plane/prompts/verify.md,,,,,,optional,standard
v0.1,2026-01-15 02:40:00,ROS-010,Non-interactive config file,repo_os_created_item,configuration,Machine-readable config to drive installs/upgrades,,missing,no,,,,Deterministic installs,High,not started,,,,/control_plane/prompts/verify.md,,,,,,optional,standard
v0.1,2026-01-15 02:40:00,ROS-011,Policy enforcement boundary,repo_os_created_item,governance,Define hard vs soft enforcement rules,,missing,no,,,,Prevents brittleness,Medium,not started,,,,/control_plane/prompts/verify.md,,,,,,optional,standard
v0.1,2026-01-15 02:40:00,ROS-012,Repo OS versioning,repo_os_created_item,versioning,Track which Repo OS version is installed,,missing,no,,,,Upgrade safety,High,not started,,,,/control_plane/prompts/verify.md,,,,,,optional,standard
v0.1,2026-01-15 02:40:00,ROS-013,Upgrade / migration workflow,repo_os_created_item,upgrade,Safe upgrade path across Repo OS versions,,missing,no,,,,Scales to many repos,High,not started,,,,/control_plane/prompts/verify.md,,,,,,optional,standard
v0.1,2026-01-15 02:40:00,ROS-014,CI/CD preset matrix,repo_os_created_item,ci_cd,Reusable CI presets by runtime,,missing,no,,,,Consistency across repos,Medium,not started,,,,/control_plane/prompts/verify.md,,,,,,optional,standard
v0.1,2026-01-15 02:40:00,ROS-015,Prompt index enforcement,repo_os_created_item,governance,CI rule: prompt add requires index update,,missing,no,,,,Prevents registry drift,Medium,not started,,,,/control_plane/prompts/verify.md,,,,,,optional,standard
v0.1,2026-01-15 02:40:00,ROS-016,Protected files ownership,repo_os_created_item,governance,Require reviews for core governance files,,missing,no,,,,Defense in depth,Low,not started,,,,/control_plane/prompts/verify.md,,,,,,optional,standard
v0.1,2026-01-15 02:40:00,ROS-017,Supply-chain baseline,repo_os_created_item,security,Secret scanning and minimal permissions,,missing,no,,,,Enterprise readiness,Low,not started,,,,/control_plane/prompts/verify.md,,,,,,optional,standard
